Year;Month;MonthId;County;CountyId;AccidentType;Severity;Quantity
2024;juli;7;Stockholms län;1;Motorfordonsolycka, ej kollision med oskyddad;Skadade;161
2024;juli;7;Stockholms län;1;Olycka med oskyddad trafikant inblandad;Skadade;319
2024;juli;7;Uppsala län;3;Motorfordonsolycka, ej kollision med oskyddad;Skadade;16
2024;juli;7;Uppsala län;3;Olycka med oskyddad trafikant inblandad;Skadade;22
2024;juli;7;Södermanlands län;4;Olycka med oskyddad trafikant inblandad;Skadade;58
2024;juli;7;Södermanlands län;4;Motorfordonsolycka, ej kollision med oskyddad;Skadade;31
2024;juli;7;Östergötlands län;5;Olycka med oskyddad trafikant inblandad;Skadade;77
2024;juli;7;Östergötlands län;5;Motorfordonsolycka, ej kollision med oskyddad;Skadade;34
2024;juli;7;Jönköpings län;6;Motorfordonsolycka, ej kollision med oskyddad;Skadade;26
2024;juli;7;Jönköpings län;6;Olycka med oskyddad trafikant inblandad;Skadade;13
2024;juli;7;Kronobergs län;7;Olycka med oskyddad trafikant inblandad;Skadade;40
2024;juli;7;Kronobergs län;7;Motorfordonsolycka, ej kollision med oskyddad;Skadade;25
2024;juli;7;Kalmar län;8;Motorfordonsolycka, ej kollision med oskyddad;Skadade;41
2024;juli;7;Kalmar län;8;Olycka med oskyddad trafikant inblandad;Skadade;44
2024;juli;7;Gotlands län;9;Motorfordonsolycka, ej kollision med oskyddad;Skadade;16
2024;juli;7;Gotlands län;9;Olycka med oskyddad trafikant inblandad;Skadade;3
2024;juli;7;Blekinge län;10;Motorfordonsolycka, ej kollision med oskyddad;Skadade;16
2024;juli;7;Blekinge län;10;Olycka med oskyddad trafikant inblandad;Skadade;53
2024;juli;7;Skåne län;12;Motorfordonsolycka, ej kollision med oskyddad;Skadade;183
2024;juli;7;Skåne län;12;Olycka med oskyddad trafikant inblandad;Skadade;435
2024;juli;7;Hallands län;13;Motorfordonsolycka, ej kollision med oskyddad;Skadade;34
2024;juli;7;Hallands län;13;Olycka med oskyddad trafikant inblandad;Skadade;40
2024;juli;7;Västra Götalands län;14;Olycka med oskyddad trafikant inblandad;Skadade;115
2024;juli;7;Västra Götalands län;14;Motorfordonsolycka, ej kollision med oskyddad;Skadade;145
2024;juli;7;Värmlands län;17;Olycka med oskyddad trafikant inblandad;Skadade;57
2024;juli;7;Värmlands län;17;Motorfordonsolycka, ej kollision med oskyddad;Skadade;35
2024;juli;7;Örebro län;18;Motorfordonsolycka, ej kollision med oskyddad;Skadade;38
2024;juli;7;Örebro län;18;Olycka med oskyddad trafikant inblandad;Skadade;34
2024;juli;7;Västmanlands län;19;Motorfordonsolycka, ej kollision med oskyddad;Skadade;29
2024;juli;7;Västmanlands län;19;Olycka med oskyddad trafikant inblandad;Skadade;21
2024;juli;7;Dalarnas län;20;Motorfordonsolycka, ej kollision med oskyddad;Skadade;43
2024;juli;7;Dalarnas län;20;Olycka med oskyddad trafikant inblandad;Skadade;91
2024;juli;7;Gävleborgs län;21;Motorfordonsolycka, ej kollision med oskyddad;Skadade;26
2024;juli;7;Gävleborgs län;21;Olycka med oskyddad trafikant inblandad;Skadade;26
2024;juli;7;Västernorrlands län;22;Motorfordonsolycka, ej kollision med oskyddad;Skadade;37
2024;juli;7;Västernorrlands län;22;Olycka med oskyddad trafikant inblandad;Skadade;42
2024;juli;7;Jämtlands län;23;Motorfordonsolycka, ej kollision med oskyddad;Skadade;13
2024;juli;7;Västerbottens län;24;Olycka med oskyddad trafikant inblandad;Skadade;31
2024;juli;7;Västerbottens län;24;Motorfordonsolycka, ej kollision med oskyddad;Skadade;34
2024;juli;7;Norrbottens län;25;Olycka med oskyddad trafikant inblandad;Skadade;4
2024;juli;7;Norrbottens län;25;Motorfordonsolycka, ej kollision med oskyddad;Skadade;23
2024;juli;7;Okänt;26;Motorfordonsolycka, ej kollision med oskyddad;Skadade;2
2024;juli;7;Okänt;26;Olycka med oskyddad trafikant inblandad;Skadade;2
2024;juni;6;Okänt;26;Motorfordonsolycka, ej kollision med oskyddad;Skadade;3
2024;juni;6;Okänt;26;Olycka med oskyddad trafikant inblandad;Skadade;4
